COURSE_SUBJECT,COURSE_NUMBER,COURSE_TITLE,RESOURCE_NAME,ISBN
CNSR SCI,355,Financial Coaching,Coaching Skills: The Definitive Guide to Being A Coach,'9780335261925'
ENGL,245,Seminar in the Major,Giovanni's Room,'9780345806567'
NUTR SCI,631,Clinical Nutrition I,Nutrition Therapy and Pathophysiology,'9780357041710'
ITALIAN,101,First Semester Italian,"Melucci/Tognozzi - Bundle: Piazza, Student Edition: Introductory Italian, Loose-Leaf Version, 2nd +",'9780357102237'
ITALIAN,101,First Semester Italian,"Bundle: Piazza, Student Edition: Introductory Italian, 2nd + MindTap, 4 terms Printed Access Card",'9780357102251'
CNSR SCI,627,Advanced Consumer Finance,Investments: An Introduction,'9780357127957'
ECON,101,Principles-Microeconomics,Principles of Microeconomics,'9780357133484'
ECON,101,Principles-Microeconomics,Principles of Microeconomics (loose-leaf text version with MindTap access code card),'9780357133712'
ECON,310,Stats:Measrmnt in Economics,"Statistics for Management and Economics, Loose-leaf Version, 11th + MindTap",'9780357195673'
LEGAL ST,131,Criminal Justice in America,Criminal Justice in America,'9780357251065'
ECON,101,Principles-Microeconomics,Principles of Microeconomics,'9780357530443'
ECON,101,Principles-Microeconomics,Principles of Microeconomics (MindTap access code card with eText),'9780357636619'
ECON,102,Principles-Macroeconomics,"Mankiw - Custom MindTap for Economics, Principles of Macroeconomics",'9780357636640'
PSYCH,510,Issues Child Psychopathology,Abnormal Child Psychology,'9780357692233'
ENVIR ST,809,Intro-Energy Analysis & Policy,How Solar Energy Became Cheap: A Model for Low-Carbon Innovation,'9780367136598'
STAT,240,Intro to Data Modeling I,Statistical Inference via Data Science,'9780367409821'
ENGL,176,Topics in Literature and Film,Annihilation,'9780374104092'
ENGL,156,Literature and Medicine,The Undying,'9780374279349'
PSYCH,526,Criminal Mind:Forensics/Scienc,"The Wisdom of Psychopaths: What Saints, Spies, and Serial Killers Can Teach Us About Success",'9780374291358'
ENGL,800,Critical Methods in Lit,S/Z,'9780374521677'
ENGL,242,Literature and Culture II,Annie John,'9780374525101'
ASIAN AM,240,Topics-Asian Amer Studies,A Lover's Discourse,'9780374532314'
SLAVIC,245,Topics-Slavic Literatures,Day of the Oprichnik,'9780374533106'
ENGL,178,"Digital Media, Lit, Culture",Dear Cyborgs,'9780374537111'
ENGL,814,Topics in Contemporary Lit,Babel-17,'9780375706691'
THEATRE,352,Auditioning for Stage & Screen,AUDITIONING,'9780375725371'
CHICLA,330,Topics in Chicano/a Studies,Song of the Water Saints,'9780375725494'
COMP LIT,350,Problms in Comp Lit & Cultures,Midaq Alley,'9780385264761'
GERMAN,236,Bascom Course,The Strange Library,'9780385354318'
AFROAMER,222,Intro-Black Women Writers,"Twilight: Los Angeles, 1992",'9780385473767'
ECON,725,Machine Learning for Econ,Elements of Statistical Learning,'9780387216065'
COMP SCI,726,Nonlinear Optimization I,Numerical Optimization,'9780387303031'
ENGL,156,Literature and Medicine,Memoir of a Debulked Woman,'9780393073256'
ANTHRO,860,Hist-Anthropological Theory,The Marx-Engels Reader,'9780393090406'
MUSIC,211,Survey-Hist Western Music,Concise History of Western Music,'9780393124262'
ECON,455,Behavioral Economics,The Undoing Project,'9780393254594'
FOLKLORE,103,Intro-Mus Cult of the World,Soundscapes Exploring Music in a Changing World,'9780393264043'
LITTRANS,222,Dostoevsky in Translation,Crime and Punishment,'9780393264272'
ENGL,242,Literature and Culture II,Pride and Prejudice,'9780393264883'
ENGL,731,Adv Theatre Hist-500bc-1700,"The Norton Anthology of Drama, Volume 1",'9780393283471'
ENGL,120,Intro-Theatre & Dramatic Lit,"The Norton Anthology of Drama, Third Shorter Edition",'9780393283501'
MUSIC,121,Musica Practica 1,A New Approach to Sightsinging (available at the UW Bookstore),'9780393284911'
HISTORY,261,American Legal History to 1860,The Story of American Freedom,'9780393319620'
CLASSICS,100,Legacy of Greece & Rome,The Bacchae of Euripides: A Communion Rite,'9780393325836'
HISTORY,130,Intro to World History,A Brief History of the Human Race,'9780393326451'
AFROAMER,151,Intro-Contemp Afro-Am Soc,Race in America,'9780393419504'
PSYCH,202,Introduction to Psychology,Interactive Psychology: People in Perspective,'9780393421392'
ECON,302,Intmed Macroeconomic Theory,Macroeconomics,'9780393422269'
ENGL,120,Intro-Theatre & Dramatic Lit,The Little Seagull Handbook,'9780393602647'
ENGL,241,Literature and Culture I,"Norton Anthology of English Literature, Volumes A, B, and C",'9780393603125'
PSYCH,225,Research Methods,Research Methods in Psychology Third Edition,'9780393617542'
POLI SCI,182,Politics Around World-Honors,Cases and Concepts in Comparative Politics: An Integrated Approach,'9780393631302'
POLI SCI,120,Politics Around the World,Cases and Concepts in Comparative Politics,'9780393631364'
HDFS,517,Couple Relationships,Intimate Relationships,'9780393640250'
MUSIC,211,Survey-Hist Western Music,"Norton Anthology of Western Music, vol. 1, Ancient to Baroque",'9780393656411'
MUSIC,101,The Musical Experience,The Enjoyment of Music - Shorter,'9780393664386'
LSC,212,Intro-Scientific Communication,They Say / I Say: The Moves That Matter in Academic Writing,'9780393666076'
ANTHRO,104,Cult Anthro&Human Diversity,Cultural Anthropology: A Toolkit for a Global Age,'9780393667929'
POLI SCI,104,Intro-Amer Politcs&Governmt,American Government: Power and Purpose,'9780393674996'
POLI SCI,311,United States Congress,The United States Congress,'9780393680195'
ASTRON,104,Exploration of Solar System,"21 century astronomy, 6th edition",'9780393691'
JOURN,445,Creative Campaign Messages,Advertising: Concept and Copy,'9780393733'
POLI SCI,272,Intro to Public Policy,Policy Paradox,'9780393912722'
ECON,475,Economics of Growth,Introduction to Economic Growth,'9780393919172'
ECON,521,Game Theory & Economic Anal,Games of Strategy,'9780393919684'
COMP LIT,203,Intro Cross-Cultrl Lit Form,The Metamorphosis,'9780393923209'
LITTRANS,220,Chekhov in Translation,Anton Chekhov's Selected Stories,'9780393925302'
LITTRANS,222,Dostoevsky in Translation,THE BROTHERS KARAMAZOV,'9780393926330'
STAT,301,Intro-Statistical Methods,Statistics,'9780393929720'
ASIAN,103,Intro-E Asian History:China,The Search for Modern China,'9780393934519'
ENGL,431,Early Works of Shakespeare,The Norton Shakespeare: Early Plays and Poems,'9780393938579'
SOC,125,Amer Soc: How It Really Works,Contemporary American Society: How it really works.,'9780393938852'
ENGL,242,Literature and Culture II,Great Expectations,'9780393960693'
ENGL,241,Literature and Culture I,Robinson Crusoe,'9780393964523'
ENGL,242,Literature and Culture II,Strange Case of Dr Jekyll and Mr Hyde,'9780393974652'
ENGL,242,Literature and Culture II,Short Novels,'9780393976410'
ASIAN,456,"Japan, US-Crisis in Asia","Pacific War, 1931-45",'9780394734965'
AFROAMER,222,Intro-Black Women Writers,The Street,'9780395901496'
ENGL,577,Postcolonial Theatre,The Coup: A Play of Revolutionary Dreams,'9780413652607'
THEATRE,250,Fundamentals of Acting,Stanislavski: The Basics,'9780415492973'
ELPA,863,Race Class & Ed Inequality,Racial Formation in the United States,'9780415520317'
ENGL,414,Global Spread of English,Global Englishes: A resource book for students,'9780415638449'
HISTORY,600,Advanced Seminar in History,Pompeii and Herculaneum: A Sourcebook,'9780415666800'
POLI SCI,401,Selected Topics-Poli Sci,Interviewing in Social Science Research: A Relational Approach,'9780415843744'
ENGL,318,Second Language Acquisition,Second Language Acquisition: An Introductory Course,'9780415894951'
ELPA,736,Admin Stdt Serv-Higher Educ,Linking Theory to Practice: Case Studies for Working with College Students,'9780415898706'
LITTRANS,233,Russian Life&Cult (to 1917),RUSSIA: A Historical Introduction from Kievan Rus to the Present,'9780429497520'
THEATRE,363,Prin&Pract-Stage Costume Dsgn,The Costume Designer's Handbook,'9780435086077'
THEATRE,464,Costume Technology Topics,Fabric Painting and Dyeing,'9780435086244'
ENGL,178,"Digital Media, Lit, Culture",Neuromancer,'9780441569595'
G L E,801,Spec Topics-Geological Engr,Petroleum Related Rock Mechanics,'9780444502605'
HISTORY,427,US Military History to 1902,"A Narrative of a Revolutionary Soldier: Some Adventures, Dangers, and Sufferings of Joseph Plumb Mar",'9780451531582'
CLASSICS,100,Legacy of Greece & Rome,Dyskolos,'9780451615404'
ASIAN AM,152,AsianAm Lit & Pop Culture,M. Butterfly*,'9780452272590'
INTER-LS,260,Intrnshp in Liberal Arts & Sci,You Majored in What? Mapping Your Path from Chaos to Career (revised ed.),'9780452296008'
AFROAMER,154,Hip-Hop and Cont Am Society,The Hip-hop Wars,'9780465008971'
HISTORY,130,Intro to World History,Empire: The Rise and Demise of the British Order and the Lessons for Global Power,'9780465023288'
PHYSICS,448,Atomic and Quantum Physics,Quantum Mechanics: The Theoretical Minimum,'9780465036677'
ART,575,User Experience for Design,The design of everyday things,'9780465050659'
JEWISH,431,Intmed Topcs in Jewish History,Kingdoms of Faith: A New History of Islamic Spain,'9780465093168'
ANTHRO,860,Hist-Anthropological Theory,Structural Anthropology,'9780465095162'
ANTHRO,860,Hist-Anthropological Theory,The Interpretation of Cultures,'9780465097197'
MATH,322,Appl Mathematical Analysis,Partial Differential Equations: An Introduction,'9780470054567'
N E,427,Nuclear Instrumentation Lab,Radiation Detection And Measurement,'9780470131480'
DS,222,Interior Design I,Kitchen and Bath Design: A Guide to Planning Basics,'9780470392003'
CURRIC,301,Music Learning and Teaching 1,The Dreamkeepers: Successful Teachers of African American Children,'9780470408155'
ELPA,827,Surveys/Quant Data Collection,Survey Methodology,'9780470465462'
KINES,508,Workshop in Kinesiology,How Learning Works: 7 Research-Based Principles for Smart Teaching,'9780470484'
E C E,740,Electromagnetic Theory,"Advanced Engineering Electromagnetics, 2nd Edition",'9780470589489'
E P D,637,Polymer Characterization,Spectroscopic Identification of Organic Compounds,'9780470616376'
M H R,746,Impact Consulting for Arts,Flawless Consulting: A Guide to Getting Your Expertise Used,'9780470620748'
ENGL,520,Old English,Introduction to Old English,'9780470659847'
SOC WORK,400,Field Pract/Integrat Smr I,"The Psychotherapy Documentation Primer, 3rd Ed.",'9780470903964'
PATH-BIO,517,Veterinary Bact & Mycology,Veterinary Bacteriology,'9780470959497'
SOIL SCI,622,Soil Physics,Soil Physics,'9780471059653'
E C E,445,Semiconductr Physics&Device,Physics of Semiconductor Devices,'9780471143239'
E C E,740,Electromagnetic Theory,Time-Harmonic Electromagnetic Fields,'9780471208068'
CHEM,561,Physical Chemistry,Physical Chemistry (4th edition),'9780471215042'
B M E,310,Bioinstrumentation,Bioinstrumentation,'9780471263272'
PHYSICS,721,Theor Physics-Electrodynmcs,Classical Electrodynamics,'9780471309321'
SLAVIC,275,Third Year Russian I,The Golden Age,'9780471309406'
COMP SCI,425,Intro-Combinatrl Optimizatn,Combinatorial Optimization,'9780471558941'
E C E,717,Linear Systems,Linear State-Space Control Systems,'9780471735557'
BIOCHEM,665,Biophysical Chemistry,Chemical Thermodynamics (7th edition 2008 or another edition),'9780471780151'
AFROAMER,156,Black Music&Am Cultrl Hist,"A Change is Gonna Come: Music, Race & the Soul of America",'9780472031474'
ESL,349,Academic Writing for Grads,Academic Writing for Graduate Students,'9780472034758'
ESL,344,Acad Present. and Discussion,Giving Academic Presentations,'9780472035090'
ENGL,245,Seminar in the Major,Bartleby and Benito Cereno,'9780486264738'
ENGL,245,Seminar in the Major,The Yellow Wallpaper and Other Stories,'9780486298573'
PHYSICS,448,Atomic and Quantum Physics,Mathematics for Quantum Mechanics,'9780486453088'
ART HIST,409,Topics in Contemporary Art,"Art Since 1900, vol. 2",'9780500292723'
ANTHRO,212,Principles of Archaeology,Principles of Archaeology,'9780500293362'
ANTHRO,906,Meth&Hypoth-Behav Ecologsts,"Planning, Proposing, and Presenting Science Effectively",'9780511541469'
COMP SCI,714,Methods of Computatnl Math I,Finite Volume Methods for Hyperbolic Problems,'9780511791253'
ECON,703,Mathematical Economics I,Mathematical Methods and Models for Economists,'9780511810756'
ENGL,731,Adv Theatre Hist-500bc-1700,"Actors on Acting: The Theories, Techniques, and Practices of the World's Great Actors",'9780517884782'
SOC,924,Seminar-Political Sociology,To the Right : the transformation of American conservatism,'9780520066496'
ENVIR ST,328,Environmental History: Europe,Secure from Rash Assault: Sustaining the Victorian Environment,'9780520216099'
COM ARTS,552,Contemporary Hollywood Cinema,The Way Hollywood Tells It: Story And Style In Modern Movies,'9780520246225'
ASIAN,630,Proseminar: Cultures of Asia,In Pursuit of the Good Life: Aspiration and Suicide in Globalizing South India,'9780520281165'
AFROAMER,712,Educ and Civil Rights Movement,The Black Revolution on Campus,'9780520282186'
CNSR SCI,273,Finances & Families,Families in America,'9780520285897'
ASIAN AM,240,Topics-Asian Amer Studies,FLAVORS OF EMPIRE,'9780520293748'
HISTORY,200,Historical Studies,How All Politics Became Reproductive Politics,'9780520299948'
HIST SCI,720,Historiography & Methods,Intimate Communities,'9780520300460'
GEN&WS,320,"Topics-Gender, Women & Society",States and Women's Rights,'9780520935471'
COMP SCI,514,Numerical Analysis,An Introduction to Numerical Analysis,'9780521007948'
GREEK,305,Intermediate Greek,Cambridge Grammar of Classical Greek,'9780521127295'
M E,361,Thermodynamics,Thermodynamics,'9780521195706'
PHILOS,835,Advanced History-Philosophy,"The Philosophical Writings of Descartes, vol. 1",'9780521288071'
PHILOS,835,Advanced History-Philosophy,"The Philosophical Writings of Descartes, vol. 2",'9780521288088'
ANTHRO,860,Hist-Anthropological Theory,Outline of a Theory of Practice,'9780521291644'
PHILOS,835,Advanced History-Philosophy,"The Philosophical Writings of Descartes, vol. 3: The Correspondence",'9780521423502'
LATIN,563,Mediaeval Latin,Reading Medieval Latin,'9780521447478'
GERMAN,262,Intermediate German-Writing,Using German Synonyms,'9780521465526'
ECON,305,Developmnt-Economic Thought,The Wealth of Ideas: A History of Economic Thought,'9780521691871'
PHYSICS,772,High Energy Astrophysics,High Energy Astrophysics,'9780521756181'
G L E,801,Spec Topics-Geological Engr,Reservoir Geomechanics,'9780521770699'
E C E,730,Probability and Random Process,Probability and Random Processes for Electrical and Computer Engineers,'9780521864701'
PHYSICS,709,Intro to Quantum Computing,Quantum Computer Science: An Introduction,'9780521876582'
PHYSICS,406,Special Topics in Physics,A First Course in General Relativity,'9780521887052'
CHICLA,330,Topics in Chicano/a Studies,The Tragedy of Brady Sims,'9780525434467'
ENGL,350,Topics in Gender & Literature,Trick Mirror,'9780525510567'
SLAVIC,245,Topics-Slavic Literatures,"The Road to Unfreedom: Russia, Europe, America",'9780525574460'
MUSIC,211,Survey-Hist Western Music,Music in the Western World: A Hist. in Documents,'9780534585990'
PORTUG,221,Intro-Luso-Brazilian Lits,The Elephant's Journey,'9780547352589'
AFRICAN,203,Intro Topics in African Lit,Evicted: Poverty and Profit in the American City,'9780553447453'
ENGL,156,Literature and Medicine,Wit,'9780571198771'
ENGL,156,Literature and Medicine,Normal Heart,'9780573619939'
CLASSICS,100,Legacy of Greece & Rome,Antigone,'9780573628191'
ILS,254,Literature and Science,Emilie: Madame du Chatelet Explains Her Life,'9780573697821'
ASIAN AM,240,Topics-Asian Amer Studies,Peerless,'9780573705878'
LAW,723,Legal Research and Writing,"The Bluebook, A Uniform System of Citation",'9780578666150'
ASIAN AM,240,Topics-Asian Amer Studies,Beyond the Gender Binary,'9780593094655'
L I S,751,Database Dsgn-Info Prof,Head First SQL: A Brain-Friendly Guide.,'9780596526849'
RP & SE,842,Legal Foundations of Spec Ed,The bluebook: A uniform system of citation,'9780615361161'
ENGL,153,Literature and the Environment,Silent Spring,'9780618249060'
ESL,343,Oral Communication Skills,Targeting Pronunciation,'9780618444182'
ENGL,153,Literature and the Environment,The Lives of Rocks,'9780618919666'
INTL ST,101,Intro to International Studies,Introducing Globalization,'9780631231295'
G L E,801,Spec Topics-Geological Engr,Fundamentals of Rock Mechanics,'9780632057597'
AFROAMER,156,Black Music&Am Cultrl Hist,Our America: Life and Death on the South Side of Chicago,'9780671004644'
GEN&WS,720,Spec Topics-Gender&Wmn Studies,Stigma: Notes on the Management of Spoiled Identity,'9780671622442'
CSCS,300,Nonprofit Sector: Overview,On Being Nonprofit:  A Conceptual & Policy Primer,'9780674007680'
HISTORY,600,Advanced Seminar in History,The Fires of Vesuvius: Pompeii Lost and Found,'9780674045866'
HISTORY,861,Seminar-History of Africa,Beyond Timbuktu: An Intellectual History of Muslim West Africa,'9780674050822'
ED POL,648,Sociology of Education,Paying for the Party,'9780674088023'
ART HIST,500,Prosem:Spec Topics-Art Hist,"Distinction: A Social Critique of the Judgement of Taste, translated by Richard Nice",'9780674212770'
HISTORY,427,US Military History to 1902,The Personal Memoirs of Ulysses S. Grant - Complete Annotated Edition,'9780674237858'
HISTORY,600,Advanced Seminar in History,Pompeii: Public and Private Life,'9780674689671'
ELPA,887,Diversity and Inequality,Educating a Diverse Nation: Lessons from Minority-Serving Institutions,'9780674736801'
HISTORY,861,Seminar-History of Africa,"The People?s Zion: Southern Africa, the United States and a Transatlantic Faith-Healing Movement",'9780674737785'
POLI SCI,401,Selected Topics-Poli Sci,The Soldier and the State: The Theory and Politics of Civil?Military Relations,'9780674817364'
COM ARTS,552,Contemporary Hollywood Cinema,Storytelling in the New Hollywood: Understanding Classical Narrative Technique,'9780674839755'
KINES,508,Workshop in Kinesiology,Make it Stick: The Science of Successful Learning,'9780674986572'
LITTRANS,201,19&20th C Russn Lit Tran I,Hero of Our Time,'9780679413271'
ASIAN AM,150,Lit & Culture of Asian America,The Woman Warrior,'9780679721888'
ASIAN AM,150,Lit & Culture of Asian America,China Men,'9780679723288'
CLASSICS,834,Roman Political Thought,The Aeneid,'9780679729525'
ENGL,245,Seminar in the Major,The Professor's House,'9780679731801'
ENGL,242,Literature and Culture II,As I Lay Dying,'9780679732259'
AFROAMER,227,Masterpieces of Afro Amer Lit,Invisible Man,'9780679732761'
AFROAMER,227,Masterpieces of Afro Amer Lit,The Fire Next Time,'9780679744726'
ENGL,458,Major American Writer(s),The Old Man and the Sea,'9780684801223'
ENGL,458,Major American Writer(s),The Complete Short Stories,'9780684843322'
G L E,801,Spec Topics-Geological Engr,Theory of Linear Poroelasticity with Applications to Geomechanics and Hydrogeology,'9780691037462'
A A E,737,Applied Econometric Analysis 3,Mostly Harmless Econometrics: An Empiricist's Companion,'9780691120355'
ART HIST,500,Prosem:Spec Topics-Art Hist,Privilege: The Making of an Adolescent Elite at St. Paul?s School,'9780691156231'
JEWISH,231,Elem Topics in Jewish History,"Defining neighbors:Religion, race, and the early Zionist-Arab encounter",'9780691159508'
POLI SCI,160,Intro to Political Theory,Princeton Readings in Political Thought,'9780691159973'
POLI SCI,408,The American Presidency,Thinking About the Presidency: The Primacy of Power,'9780691165684'
PHYSICS,406,Special Topics in Physics,Gravitation,'9780691177793'
HISTORY,861,Seminar-History of Africa,Worldmaking After Empire: The Rise and Fall of Self-Determination,'9780691179155'
LEGAL ST,645,Intellectual Freedom,Speak Freely: Why Universities Must Defend Free Speech,'9780691181608'
I SY E,601,Spec Topics Industrial Engr,Data Visualization: A practical introduction.,'9780691181622'
LAW,723,Legal Research and Writing,"The Bluebook, A Uniform System of Citation",'9780692400197'
COMP LIT,350,Problms in Comp Lit & Cultures,The Blind Owl and Other Stories,'9780714544588'
PHM SCI,432,Pharmaceutical Biochemistry,Lehninger Principles of Biochemistry,'9780716771081'
NURSING,828,Clinical Leadership III,The Clinical Nurse Specialist in Theory and Practice,'9780721644868'
CHICLA,330,Topics in Chicano/a Studies,Exit West,'9780735212206'
A A E,335,Intro to Data Analysis,Microsoft Excel 2016 Step by Step,'9780735697485'
COMP SCI,639,UG Elective Topic in Computing,Feynman Lectures on Computation,'9780738202969'
CHICLA,330,Topics in Chicano/a Studies,Across a Hundred Mountains,'9780743269582'
COMP LIT,203,Intro Cross-Cultrl Lit Form,The Tempest,'9780743482837'
AFRICAN,204,Intro Topics African Languages,Language and Politics,'9780748624539'
CHEM,713,Inorg&Organometal Chemistry,Chemistry of the Elements,'9780750633659'
SLAVIC,101,1st Semester Russian,"Russian Stage One: Live from Russia, Volume 1 (textbook and workbook)",'9780757552014'
AFRICAN,331,First Semester Swahili,"Kiswahili: Msingi wa Kusema, Kusoma na Kuandika",'9780761809722'
RP & SE,719,Intro to Qualitative Research,Foundations of Social Research: Meaning and Perspective in the Research Process,'9780761961062'
L I S,622,Childrens Literature,Wild Things: Acts of Mischief in Children?s Literature.,'9780763651503'
OCC THER,873,Adv Outcome Measure in OT,Conducting Health Outcomes Research,'9780763786779'
ENGL,350,Topics in Gender & Literature,Autonomous,'9780765392077'
POLI SCI,272,Intro to Public Policy,An Introduction to the Policy Process,'9780765646620'
E P D,690,Special Topics in E P D,Automotive Emissions Regulations and Exhaust Aftertreatment Systems,'9780768099'
LAW,711,Contracts I,"Contract Law & Theory:  Selected Provisions: Restatement of Contracts, Uniform Commercial Code",'9780769848952'
PHM SCI,542,Parenteral Therapy & Nutrition,A Practical Guide to Contemporary Pharmacy Practice,'9780781783965'
CURRIC,240,"Crit Aspects Teach, Schl, Educ",Sahara Special,'9780786816118'
ELPA,999,Independent Reading,Foundations of Student Affairs,'9780787967918'
ELPA,715,Govern&Admin-Coll&Universty,"Reframing Organizations: Artistry, Choice, and Leadership",'9780787987992'
ELPA,715,Govern&Admin-Coll&Universty,Engaging the Six Cultures of the Academy,'9780787995195'
CSCS,400,Philanthropy & Civic Engagemnt,Inspired Philanthropy,'9780787996529'
ELPA,736,Admin Stdt Serv-Higher Educ,The Handbook of Student Affairs Administration,'9780787997335'
CLASSICS,227,Intro to Biblical Lit,A Short Introduction to the Hebrew Bible,'9780800662073'
AFROAMER,338,The Black Arts Movement,SOS Poems by Amiri Baraka 1961-2013,'9780802123350'
PORTUG,221,Intro-Luso-Brazilian Lits,Fernando Pessoa & Co. Selected Poems.,'9780802136275'
ENGL,800,Critical Methods in Lit,"Black Skin, White Masks",'9780802143006'
AMER IND,172,Literatures of Native America,Flight: A Novel,'9780802170378'
PHY THER,664,Clinical Medicine I,Fundamentals of Musculoskeletal Imaging,'9780803638211'
OCC THER,873,Adv Outcome Measure in OT,Foundations of Clinical Research: Applications to Evidence-Based Practice,'9780803661134'
NURSING,470,School Nursing and Comm Hlth,School Nursing: A Comprehensive Text,'9780803669017'
ENGL,822,Topics in Theory,Discourse Networks 1800/1900,'9780804720991'
HISTORY,600,Advanced Seminar in History,W. E. B. Du Bois: A Biography,'9780805088052'
PSYCH,610,Design&Anlys-Psych Expermnts I,Data Analysis: A Model-Comparison Approach.,'9780805833881'
AMER IND,474,Ethnobotany,BIODIVERSITY & NATIVE AMERICA,'9780806133454'
AMER IND,437,American Indian Women,Making a Difference: My Fight for Native Rights and Social Justice,'9780806164274'
ENGL,814,Topics in Contemporary Lit,Kindred,'9780807083697'
ELPA,911,Authentic Pedagogy and Achieve,Pedagogy of confidence: Inspiring high intellectual performance in urban schools,'9780807752241'
CURRIC,672,Issues in ESL Education,Educating Emergent Bilinguals: Policies Programs and Practices for English Learners,'9780807758854'
AFROAMER,712,Educ and Civil Rights Movement,"Living for the City: Migration, Education, and the Rise of the Black Panther Party in Oakland, Calif",'9780807871133'
AFROAMER,225,Intro-AfricanAmer Dramatic Lit,Smart People,'9780810134645'
ENGL,822,Topics in Theory,The Hour of the Star,'9780811219495'
LEGAL ST,645,Intellectual Freedom,Democracy and Truth,'9780812250848'
ENGL,162,Shakespeare,Hamlet (Modern Library Classics),'9780812969092'
ENGL,162,Shakespeare,The Tempest (Modern Library Classics),'9780812969108'
ENGL,162,Shakespeare,A Midsummer Night's Dream (Modern Library Classics),'9780812969122'
ENGL,162,Shakespeare,Macbeth (Modern Library Classics),'9780812969160'
ENGL,162,Shakespeare,"Henry IV, Part One (Modern Library Classics)",'9780812969245'
ENGL,175,Lit & the Other Disciplines,imperium in imperio,'9780812971606'
CSCS,300,Nonprofit Sector: Overview,Just Mercy:  A Story of Justice and Redemption,'9780812984965'
ENGL,156,Literature and Medicine,When Breath Becomes Air,'9780812988406'
AFROAMER,628,Hist-Civ Rghts Movmnt in US,Just Mercy,'9780812989397'
AFROAMER,272,Race&Am Pol:New Deal-New Right,Between the World and Me,'9780812993547'
C&E SOC,140,Intro-Community & Envir Soc,Stolen Harvest: The hijacking of the Global Food Supply,'9780813166551'
POLI SCI,460,Topics in Political Philos,Man and the State,'9780813209050'
MATH,415,"Appl Dyn Sys, Chaos&Modelng",Nonlinear Dynamics and Chaos,'9780813349107'
ELPA,887,Diversity and Inequality,Toxic Ivory Towers: The Consequences of Work Stress on Underrepresented Minority Facult,'9780813592978'
AFROAMER,338,The Black Arts Movement,The Spook Who Sat by the Door,'9780814322468'
COM ARTS,359,Sports Media,How to Watch Television,'9780814763988'
GEN&WS,720,Spec Topics-Gender&Wmn Studies,"Caring Democracy: Markets, Equality, Justice",'9780814782781'
ELPA,887,Diversity and Inequality,Diversity and Inclusion on Campus: Supporting Students of Color in Higher Education,'9780815376927'
JEWISH,431,Intmed Topcs in Jewish History,Granda: A Novel,'9780815607656'
AMER IND,474,Ethnobotany,ENDURING SEEDS,'9780816522590'
HISTORY,431,History of Scand to 1815,Scandinavia Since 1500,'9780816620999'
POLI SCI,460,Topics in Political Philos,John Paul II: Man and Woman He Created Them: A Theology of the Body,'9780819874214'
CHICLA,330,Topics in Chicano/a Studies,Running a Thousand Miles for Freedom,'9780820321042'
HISTORY,861,Seminar-History of Africa,The Power to Name: A History of Anonymity in Colonial West Africa,'9780821420'
AFROAMER,225,Intro-AfricanAmer Dramatic Lit,Kill Move Paradise,'9780822240020'
LACIS,440,Topics in LACIS,Reyita: The Life of a Black Cuban Woman in the Twentieth Century,'9780822325932'
HISTORY,861,Seminar-History of Africa,Postcolonial Modernism: Art and Decolonization in Twentieth Century Nigeria,'9780822357'
ENGL,822,Topics in Theory,Listening to Images,'9780822362708'
ENGL,800,Critical Methods in Lit,In the Wake,'9780822362944'
HISTORY,861,Seminar-History of Africa,Critique of Black Reason,'9780822373'
GERMAN,236,Bascom Course,Recoding World Literature,'9780823273409'
ASIALANG,127,First Semester Indonesian,"Asyik Berbahasa Indonesia / Indonesian Grammar in Context, Vol.1",'9780824834784'
ASIALANG,127,First Semester Indonesian,"Ayo Berbahasa Indonesia / Let?s Speak Indonesian, Vol.1",'9780824834791'
RP & SE,980,Clin Reh Cnslg-Adv Assess Prac,IQ testing 101,'9780826106292'
RP & SE,903,Reh Coun Ed-Psychsoc Thry&Rsch,Understanding psychosocial adjustment to chronic illness and disability: A handbook for evidence-bas,'9780826123862'
NURSING,726,Foundations APN Clin Pract I,Advanced Health Assessment of Women,'9780826124241'
PUB AFFR,274,Topics in Public Policy,Jonas' Introduction to the US Health Care System,'9780826131744'
NURSING,728,APN Clin Appl & Role Dev I,Adult Gerontology Practice Guidelines,'9780826195180'
ED PSYCH,840,Clinical Pract-School Psych,Interviewing and Change Strategies for Helpers,'9780840028570'
CBE,540,Polymer Sci & Technology,Introduction to Polymers,'9780849339295'
JOURN,658,Communication Rsch Methods,Experimental and Quasi-Experimental Designs for Generalized Causal Inference,'9780864875488'
CLASSICS,100,Legacy of Greece & Rome,Dulcitius,'9780865161788'
GREEK,305,Intermediate Greek,Plato: Apology,'9780865163485'
LATIN,563,Mediaeval Latin,The Other Middle Ages,'9780865168374'
SOC WORK,821,SW Pract. in Aging & MH,Foundations of Social Work Practice in the Field of Aging,'9780871015242'
THEATRE,464,Costume Technology Topics,Puppets: Methods and Materials,'9780871921420'
POLI SCI,460,Topics in Political Philos,Augustine: Political Writings,'9780872202108'
ILS,365,Machiavelli and His World,Machiavelli: Selected Political Writings,'9780872202474'
POLI SCI,460,Topics in Political Philos,Thomas Aquinas: On Law Morality and Politics,'9780872206632'
DANCE,255,Move Comp-Perform/Visul Art,Dancer Talking Dance,'9780873226677'
AMER IND,100,Intro-Amer Indian Studies,Everything You Wanted To Know About Indians But Were Afraid To Ask,'9780873518611'
